Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
416,,,,,0,0,0,0
417,195.0,333.77777777777777,284.3333333333333,338.3333333333333,6,0,3,0
418,307.4,321.4,422.8,319.6,1,3,1,0
419,371.6666666666667,270.3333333333333,463.1666666666667,276.8333333333333,6,0,0,0
420,389.5,310.1666666666667,487.6666666666667,312.3333333333333,6,0,0,0
421,,,,,0,0,0,0
422,,,,,0,0,0,0
423,324.5,265.0,414.0,281.5,0,1,1,0
424,336.375,321.875,439.25,317.875,7,0,1,0
425,331.5833333333333,324.0833333333333,435.25,319.0,12,0,0,0
426,,,,,0,0,0,0
427,,,,,0,0,0,0
428,333.57142857142856,327.42857142857144,437.57142857142856,321.42857142857144,7,0,0,0
429,330.6,327.3333333333333,434.6,321.4,15,0,0,0
430,332.3333333333333,325.9166666666667,434.6666666666667,320.3333333333333,12,0,0,0
431,,,,,0,0,0,0
432,,,,,0,0,0,0
433,307.0,283.0,415.0,300.0,0,1,0,0
434,286.7,276.5,389.0,285.3,0,8,2,0
435,279.14285714285717,286.5,381.7142857142857,291.0,3,10,1,0
436,261.6,289.5,381.3,286.2,0,7,3,0
437,262.06666666666666,291.0,379.2,290.6666666666667,0,14,1,0
438,265.0,286.0,380.0,298.0,0,1,0,0
439,269.5,288.64285714285717,379.2142857142857,296.57142857142856,0,12,2,0
440,258.53333333333336,298.4,370.6666666666667,295.0,0,15,0,0
441,261.0,291.6,372.73333333333335,295.46666666666664,0,15,0,0
442,262.0,287.93333333333334,374.06666666666666,297.46666666666664,0,15,0,0
443,258.27272727272725,286.1818181818182,383.3636363636364,286.8181818181818,5,6,0,0
444,263.5,285.5,386.5,294.75,0,3,1,0
445,277.3636363636364,280.90909090909093,386.6363636363636,290.90909090909093,0,3,8,0
446,267.2,282.0,377.8,292.8,1,6,3,0
447,247.66666666666666,292.06666666666666,347.4,284.73333333333335,3,12,0,0
448,241.8,288.6,340.1333333333333,278.6666666666667,1,14,0,0
449,243.14285714285714,289.92857142857144,341.42857142857144,280.57142857142856,2,12,0,0
450,258.6666666666667,284.26666666666665,356.53333333333336,278.46666666666664,5,10,0,0
451,254.78571428571428,285.42857142857144,353.92857142857144,278.57142857142856,4,10,0,0
452,235.25,296.875,345.5,272.0,0,7,1,0
453,239.0,285.1666666666667,334.0,273.5,1,3,2,0
454,230.6,294.0,332.0,280.2,3,1,1,0
455,224.6,291.0,324.93333333333334,281.4,12,2,1,0
456,225.66666666666666,299.0,341.6666666666667,275.0,0,2,1,0
457,,,,,0,0,0,0
458,,,,,0,0,0,0
459,,,,,0,0,0,0
460,,,,,0,0,0,0
461,,,,,0,0,0,0
462,,,,,0,0,0,0
463,,,,,0,0,0,0
464,,,,,0,0,0,0
465,226.0,291.0,375.0,288.0,1,0,0,0
466,239.0,326.0,370.0,321.0,0,0,1,0
467,253.0,316.0,385.0,311.0,0,0,1,0
468,,,,,0,0,0,0
469,,,,,0,0,0,0
470,258.5,288.5,368.5,275.5,0,1,1,0
471,261.5,279.5,367.5,275.5,0,1,1,0
472,,,,,0,0,0,0
473,257.3333333333333,294.3333333333333,369.6666666666667,278.3333333333333,0,2,1,0
